date,odometer_km,liters,total_chf,latitude,longitude,station,notes,full_tank
2026-04-01T10:00:00,47,0,0,,,,Startkilometer,1
2026-04-04T14:30:00,210,10.00,18.43,,,,,1
2026-04-08T09:15:00,385,9.56,17.90,,,,,1
2026-04-14T16:45:00,685,12.54,23.95,,,,,1
2026-04-19T11:00:00,946,10.10,18.08,,,,,1
2026-04-23T15:20:00,1126,7.97,14.11,,,,,1
2026-04-27T08:30:00,1317,9.01,17.40,,,,,1
2026-05-02T13:00:00,1511,8.06,16.11,,,,,1
2026-05-08T17:00:00,1730,9.14,17.27,,,,,1
2026-05-14T10:45:00,1967,8.66,15.24,,,,,1
2026-05-20T15:30:00,2223,9.61,17.68,,,,,1
